username,nickname,is_verified,is_privateAcc,author_num_likes,author_num_followers,author_num_following,author_num_hearts,author_num_videos
neocrackcity96,A,False,False,60100,2407,290,332200,257
xyzatieee,dot.com🏸,False,False,25900,9567,1690,1600000,1310
junminghao_,khao🫧,False,False,144300,6881,318,615300,67
lee_zii_jia_fans,LEE ZII JIA✨李梓嘉✨🇲🇾ᶠᵃⁿˢ,False,False,15600,1476,13,64600,34
tsyn1n,trisya,False,False,1157,1731,13,421900,68
badmintonmalaysia___,HYLO OPEN,False,False,30200,30900,1573,3600000,368
knbadminton,KN,False,False,25400,11000,95,1600000,350
ppagie_tan,MALAYSIA CHAMPION 🏸,False,False,143,25700,26,2800000,165
lulutmzen,dery&#39;s,False,False,111100,1008,115,117000,51
badmintonmalaysia___,HYLO OPEN,False,False,30200,30900,1573,3600000,368
asykvn,bulu tangkis hangus,False,False,921,659,7,91300,40
bro_alip,Alip 🔥 BantuHampaSihat,False,False,14500,6724,2663,64000,12
deefordyan,simon chipmunks 🐿️,False,False,19900,1832,124,319300,34
flowmixly,🦋,False,False,11900,1486,166,157800,77
_umijun,umi dejun,False,False,11400,483,167,148500,29
__badmintonfans__,__badmintonfans__,False,False,758,6295,45,760000,447
badvinton,badvinton,False,False,4692,111300,241,7200000,809
amira_hrq15,langitbiru🌅,False,False,10600,1696,217,210000,106
racketlover96,racketlover ❤️,False,False,2412,1321,119,226200,223
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
_balqiszainal,balqisgyu,False,False,3235,53700,47,2600000,449
wanahmadcr,WAN AHMADCR,False,False,10000,45900,9,2000000,210
xyzatieee,dot.com🏸,False,False,25900,9567,1690,1600000,1310
soyez_amoureux,butterfly🦋,False,False,2713,445,50,34000,22
knbadminton,KN,False,False,25400,11000,95,1600000,350
wawasado_,siti,False,False,35600,4063,157,709600,242
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
lzjismyusername,ZJ’s,False,False,134000,1346,158,288500,53
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
ninety96six,Ninety-six96,False,False,6490,39600,79,2400000,308
jamlovesbread,jamlovesbread,False,False,501,3145,19,63500,26
badminton.edit39,badminton&#39;ns,False,False,253,93500,0,3700000,64
nuruldiana_12,Dianaa 🦋,False,False,59000,6386,405,1500000,937
creepyasf99,syzaaaaa,False,False,18600,3742,89,733200,690
aliffr15m,Power,False,False,6058,10900,94,134500,35
christalmethhh,Christal C.,False,False,8855,253,158,34800,38
nasrahsport,NasRahSport,False,False,57300,12700,27,2200000,1901
xz.pluto_,x.plo_,False,False,3188,660,152,139600,9
aneesazahiraa,𝙞𝙁𝙖𝙢𝙂𝙎 𝘟 𝘓𝘚,False,False,17900,3934,132,347900,91
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
theone_xyz,Z💎🇲🇾,False,False,9,6249,27,166900,34
rentasimentari,위하준 ||  Wi Ha-Jun,False,False,117,10400,84,1400000,240
myadore1,phithai,False,False,1320,32500,401,1100000,150
naxzzedits,naz,False,False,2748,36900,52,1700000,58
xyzatieee,dot.com🏸,False,False,25900,9567,1690,1600000,1310
hidupkentang15,hidupkentang,False,False,12600,3663,327,751300,83
luv_jiminnlkh,𝖓𝖆𝖘𝖎 𝖑𝖊𝖒𝖆𝖐 🏸🇲🇾,False,False,1862,1227,73,95400,86
emmabibby_,Emma🐑,False,False,6402,27300,370,193200,112
thatonebadmintonplayer,Funbadminton,False,False,30400,1087,115,293100,187
aisysofea1221,aisysofea1221,False,False,7476,10800,16,1700000,1450
badmintonmalaysia___,HYLO OPEN,False,False,30200,30900,1573,3600000,368
skzdwaekkidadada,Binnie 🐷🐰,False,False,698,518,11,46600,75
melvinhatesyou_,memel,False,False,16900,15200,415,1400000,242
racketsmy,Racketsmy,False,False,3538,7035,177,636000,123
sisterfarfood.hq,Chocojar Pink Gemok 🍫,False,False,1565,15700,131,286600,35
sukasekalibadminton,sukasekalibadminton,False,False,13700,4856,170,728700,282
yngxin,🌗,False,False,3095,13900,144,2900000,190
badmintonmalaysia___,HYLO OPEN,False,False,30200,30900,1573,3600000,368
syndiey,Lilo 🐿️,False,False,20600,4966,795,477300,48
schaaaa67,𝓢𝓬𝓱𝓪𝓪𝓪𝓪𝓪𝓪𝓪𝓪,False,False,13700,33700,108,3500000,328
vadiostvr,hnydew,False,False,68300,287,236,40900,12
nyominyoms,nyomi nyomii,False,False,27700,8054,599,1500000,325
sports_oc90,Owen Chong,False,False,14600,9716,31,825600,101
bdmntnlovrhere,balik hostel✌🏻,False,False,18200,3266,641,690900,670
_randomcontents4,_RandomContents,False,False,16300,1060,74,180600,125
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
loveydaisyyy,noona bapak kau ,False,False,23900,648,121,145600,100
sports_oc90,Owen Chong,False,False,14600,9716,31,825600,101
irvanianiay,ni,False,False,2011,233,97,30900,31
eetdenise,Tee Denise,False,False,527,4733,10,562300,71
irlf4iryyyy,shahidda 🦋,False,False,33300,316,55,30700,1
football_wanfr,WANFR,False,False,9629,9130,6,542200,79
badmintonmalaysia___,HYLO OPEN,False,False,30200,30900,1573,3600000,368
bbbllas,user not found,False,False,444,4278,67,1000000,47
emprischan,I&#39;ts Me 🐒,False,False,8129,1587,161,186600,154
xlkzz,qlykzn,False,False,27100,115,140,29500,3
rentasimentari,위하준 ||  Wi Ha-Jun,False,False,117,10400,84,1400000,240
ppagie_tan,MALAYSIA CHAMPION 🏸,False,False,143,25700,26,2800000,165
sweetlikebutter_fly,dreaminabi,False,False,1127,12100,47,1300000,99
yuyurandom,yuyurandom,False,False,67300,26900,186,3400000,154
leeziijia_.fans,李梓嘉❤️‍🔥,False,False,16500,6155,245,359500,177
ppagie_tan,MALAYSIA CHAMPION 🏸,False,False,143,25700,26,2800000,165
eetdenise,Tee Denise,False,False,527,4733,10,562300,71
sheseditingx,lzj 🏃‍♀️,False,False,738,3586,9,843000,625
shattlehearts_here,-ˏˋ ʜᴏᴜʀʟʏ ʟᴢᴊ & ꜱᴡʏ ˊˎ-,False,False,495,5088,56,872500,178
msialover,msialover,False,False,1852,32700,9,2200000,258
nasrahsport,NasRahSport,False,False,57300,12700,27,2200000,1901
nrldnaaa,Dino🦖,False,False,2616,3344,65,1200000,244
yukobadminton,Yuko Badminton,False,False,362,19100,205,812800,180
badmintok,Badmintok,False,False,836,34600,5,1900000,323
leyamirah,leyamirah,False,False,6319,14400,35,2300000,458
kuputeh.com,×,False,False,102700,12900,64,2400000,832
aliahandra,𝚂𝙾𝙷 𝙻𝚄𝙵𝙵𝚈 🐿️,False,False,9110,6907,98,228000,73
imieras,Miera,False,False,1665,1000,763,78500,43
neta.exe,beetingroot 🥕,False,False,167600,9275,1454,1500000,704
bella_nabila98,Bellanabila,False,False,2984,5524,1520,308700,181
hhyy437,Haesel 🇲🇾,False,False,5339,1828,35,252300,49
football_wanfr,WANFR,False,False,9629,9130,6,542200,79
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
tiaamo_,iloveme,False,False,65200,255,106,36000,7
maaairahhh,hee,False,False,84700,1694,261,245800,107
jijiabaobei,bobe,False,False,1091,6934,39,661300,79
vroom.jb,skyteo,False,False,4168,3175,210,279300,5
shattlehearts_here,-ˏˋ ʜᴏᴜʀʟʏ ʟᴢᴊ & ꜱᴡʏ ˊˎ-,False,False,495,5088,56,872500,178
exo_yeolz,nahyunchan_lover,False,False,51100,863,101,156400,232
gyeoulbbh,小李加油！,False,False,9730,7469,59,659500,126
